Element,Question_Text,Values,GoldName,GoldID
"Tremor at rest - face, lips, chin","Tremor at rest: face, lips, chin","Absent | Slight and infrequently present | Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present | Moderate in amplitude and present most of the time | Marked in amplitude and present most of the time | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson Disease Rating Scale (UPDRS) - face lips chin tremor at rest scale,xmy_9GpOADS
Action or postural tremor - right hand,Action or Postural Tremor of hands,"Absent | Slight; present with action | Moderate in amplitude, present with action | Moderate in amplitude with posture holding as well as action | Marked in amplitude; interferes with feeding | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson's Disease Rating Scale (UPDRS) - right hand action tremor scale,sF6M9FSC6ZR
Tremor at rest - left hand,Tremor at rest: hands – left,"Absent | Slight and infrequently present | Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present | Moderate in amplitude and present most of the time | Marked in amplitude and present most of the time | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson Disease Rating Scale (UPDRS) - left hand tremor at rest scale,uFm6oWfjc0c
Tremor at rest - right foot,Tremor at rest: feet – right,"Absent | Slight and infrequently present | Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present | Moderate in amplitude and present most of the time | Marked in amplitude and present most of the time | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson Disease Rating Scale (UPDRS) - right foot tremor at rest scale,m0WvXU8mhNg
Tremor at rest - left foot,Tremor at rest: feet – left,"Absent | Slight and infrequently present | Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present | Moderate in amplitude and present most of the time | Marked in amplitude and present most of the time | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson Disease Rating Scale (UPDRS) - left foot tremor at rest scale,TrNTwJT75BM
Leg agility - left leg,Leg agility: left,"Normal | Mild slowing and/or reduction in amplitude | Moderately impaired; definite and early fatiguing; may have occasional arrests in movement | Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement | Can barely perform the task | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson Disease Rating Scale (UPDRS) - left leg agility scale,d0DGE2RTA_m
Rigidity - left lower extremity,Rigidity: Lower extremity: left,"Absent | Slight or detectable only when activated by mirror or other movements | Mild to moderate | Marked, but full range of motion easily achieved | Severe; range of motion achieved with difficulty | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson Disease Rating Scale (UPDRS) - left lower extremity rigidity scale,Agqa_wRkvNn
Action or postural tremor - left hand,Action or postural tremor of hands – left,"Absent | Slight; present with action | Moderate in amplitude, present with action | Moderate in amplitude with posture holding as well as action | Marked in amplitude; interferes with feeding | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson Disease Rating Scale (UPDRS) - left hand action tremor scale,U9CZaV6TcBf
Are you afraid that something bad is going to happen to you?,Are you afraid that something bad is going to happen to you?,"No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - afraid something bad indicator,TsVaEXP00Bt
Do you think that most people are better off than you are?,Do you think that most people are better off than you are?,"No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - people better off indicator,SErqEJ7zjfA
