Element,Question_Text,Values,GoldName,GoldID
Last known to be well date and time,Date and Time last known well,,Last known to be well date and time,KcxNh3xoqox
Symptom discovery date and time*,Date and Time of discovery of stroke symptoms,,Symptom onset date and time,zchhFN0eM1Y
Symptom awaken discover indicator,C14190,Yes |  No |  Unknown,Symptom awaken discover indicator,h03YYW1GZoz
Stroke symptoms discover location type,Patient location when stroke symptoms discovered,Stroke occurred while patient was an inpatient in your hospital |  Unknown |  Another acute care facility (e.g. outside hospital) |  Chronic healthcare facility (e.g. skilled nursing facility) |  Not in a healthcare setting (e.g. at place of residence and not in a hospital or clinic) |  Outpatient healthcare setting (e.g. clinic),Stroke symptoms discover location type,DMW1htkDkRD
Hospital transport type,Type of transport to hospital,"Mobile Stroke Unit |  EMS from home/scene |  Private transportation/taxi/other from home/scene |  Unknown |  Other, specify",Hospital transport type,z3jbnCdyaqE
Hospital arrival date and time,Date of hospital arrival,,Hospital arrival date and time,kzqKY0HP3RW
IV thrombolytic initiated at this hospital,Is there documentation that IV thrombolytic was initiated at this hospital?,Yes | No,IV tPA initiated status,_eP9U0KZgSY
IV thrombolytic initiated date and time,Date and Time IV thrombolytic initiated,,IV tPA initiated date and time,E14qupDxSBA
IV thrombolytic used,Thrombolytic used,Alteplase |  Tenecteplase,IV tPA initiated status,_eP9U0KZgSY
IV thrombolytic at an outside hospital or Mobile Stroke Unit?,Was an IV thrombolytic (Alteplase or Tenecteplase) initiated at an outside hospital or Mobile Stroke Unit,Yes |  No |  Unknown,IV tPA at another hospital indicator,NgMmTcX7z_u
Intra-arterial (IA) procedure initiated indicator,Was an IA procedure initiated at this hospital,Yes |  No |  Unknown,Intra-arterial (IA) procedure initiated indicator,rjzECep5zCe
Intra-arterial (IA) procedure type,Type of IA procedure,Pharmacological |  Mechanical |  Both,Intra-arterial (IA) procedure type,TrHUNrNGeqj
Intra-arterial (IA) procedure groin puncture date/time,Date and Time of groin puncture for IA procedure,,Intra-arterial (IA) procedure groin puncture date and time,qzf4jpWzz72
Intra-arterial (IA) catheter-based reperfusion initiated date/time,Date and Time IA catheter-based reperfusion initiated,,Intra-arterial (IA) catheter-based reperfusion initiated date and time,abEb70XxDNF
Intervention mechanical or pharmacological end date/time,Date and Time of last angiographic image or the end time for mechanical/pharmacologic intervention,,Intervention mechanical or pharmacological end time,yDAF_2NW2mv
