Query,Element,Variable_Label,Question,Response,Source,GoldName,GoldID
Date of symptom onset_Date of symptom onset_Medical History,Date of symptom onset,Date of symptom onset,What is the estimated date of COVID-19 symptom onset?,,Medical History,Self-Reported COVID-19 Symptom Onset Date,VHxN7_JtoF
Chronic Kidney Disease Severity_Chronic Kidney Disease Severity_Medical History,Chronic Kidney Disease Severity,Chronic Kidney Disease Severity,"What severity is the Chronic Kidney Disease?
Mild = abnormal BUN (> 40mg/dL) and creatinine greater than 2.0; Moderate/Severe= creatinine > 3.0 or subjects with uremia or those with kidney transplant",MILD | MODERATE/SEVERE,Medical History,null,Mapping_Not_Found
Chronic Kidney Disease with AKI_Chronic Kidney Disease with AKI_Medical History,Chronic Kidney Disease with AKI,Chronic Kidney Disease with AKI,Does the participant have a history of chronic kidney disease with AKI (such as an increased creatinine above baseline in a person with a history of CKD)?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Chronic Kidney Disease with Dialysis Dependence_Chronic Kidney Disease with Dialysis Dependence_Medical History,Chronic Kidney Disease with Dialysis Dependence,Chronic Kidney Disease with Dialysis Dependence,Does the participant have a history of chronic kidney disease with dialysis dependence?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Cocaine Abuse Frequency_Cocaine Abuse Frequency_Medical History,Cocaine Abuse Frequency,Cocaine Abuse Frequency,Indicate estimated frequency of cocaine substance abuse,DAILY | EVERY WEEK | EVERY MONTH | NOT EVER | UNKNOWN,Medical History,null,Mapping_Not_Found
Cocaine Abuse_Cocaine Abuse_Medical History,Cocaine Abuse,Cocaine Abuse,Does the participant engage in substance abuse (use of illegal drugs or prescription drugs in non-intended uses or doses) of cocaine?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Connective tissue disease_Connective tissue disease_Medical History,Connective tissue disease,Connective tissue disease,"Does the participant have a connective tissue disease (including rheumatologic disorders such as SLE, polymyositis, mixed connective tissue disease, polymyalgia rheumatic, and moderate to severe rheumatoid arthritis)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
COPD_COPD_Medical History,COPD,COPD,Does the participant have a history of chronic obstructive pulmonary disease?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Coronary artery disease_Coronary artery disease_Medical History,Coronary artery disease,Coronary artery disease,Does the participant have coronary artery disease?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
COVID-19 Positive Qualifying Test_COVID-19 Positive Qualifying Test_Medical History,COVID-19 Positive Qualifying Test,COVID-19 Positive Qualifying Test,Has the participant had a qualifying positive test for COVID-19?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Current smoker_Current smoker_Medical History,Current smoker,Current smoker,Is the participant a current smoker (at least 100 cigarettes in their lifetime and currently smokes at least occasionally)?,NO | YES | UNKNOWN,Medical History,SARS-CoV-2 Risk Behavior Type,7LKV0BbMBd
Date of exposure_Date of exposure_Medical History,Date of exposure,Date of exposure,What is the date of known COVID-19 exposure?,,Medical History,null,Mapping_Not_Found
Diabetes End Organ Damage_Diabetes End Organ Damage_Medical History,Diabetes End Organ Damage,Diabetes End Organ Damage,"Does the participant have diabetes with end-organ damage (proliferative retinopathy, nephropathy, neuropathy, or cardiomyopathy?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Diabetic medications_Diabetic medications_Medical History,Diabetic medications,Diabetic medications,Is the participant currently (within the last 3 weeks) receiving any diabetic medications?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Former smoker_Former smoker_Medical History,Former smoker,Former smoker,Is the participant a former smoker (at least 100 cigarettes in their lifetime but no longer smokes)?,NO | YES | UNKNOWN,Medical History,SARS-CoV-2 Risk Behavior Type,7LKV0BbMBd
Hemiplegia_Hemiplegia_Medical History,Hemiplegia,Hemiplegia,Does the participant have hemiplegia from any cause?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Hemoglobin disorders_Hemoglobin disorders_Medical History,Hemoglobin disorders,Hemoglobin disorders,"Does theparticipant have any hemoglobin disorders (e.g., Sickle Cell Disease, Thalassemia)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Immune Modulator_Immune Modulator_Medical History,Immune Modulator,Immune Modulator,Is the participant currently (within the last 3 weeks) receiving any immunomodulators?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Immunosuppression_Immunosuppression_Medical History,Immunosuppression,Immunosuppression,Does the participant have a condition causing them to be immunosuppressed?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Immunosuppressive_Immunosuppressive_Medical History,Immunosuppressive,Immunosuppressive,"Is the participant currently (within the last 3 weeks) taking any immunosuppressive medication, not including steroids?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Interstitial lung disease_Interstitial lung disease_Medical History,Interstitial lung disease,Interstitial lung disease,Does the participant have interstitial lung disease?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Leukemia_Leukemia_Medical History,Leukemia,Leukemia,"Does the participant have leukemia (AML, CML, ALL, or multiple myeloma)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Liver Disease Severity_Liver Disease Severity_Medical History,Liver Disease Severity,Liver Disease Severity,"What severity is the Chronic Liver Disease?
Mild = cirrhosis without portal hypertension, chronic hepatitis; Moderate/Severe= cirrhosis and portal hypertension.",MILD | MODERATE/SEVERE,Medical History,null,Mapping_Not_Found
Lymphoma_Lymphoma_Medical History,Lymphoma,Lymphoma,Does the participant have lymphoma (Hodgkin or Non-Hodgkin)?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Medical History Collection Date_Medical History Collection Date_Medical History,Medical History Collection Date,Medical History Collection Date,,,Medical History,null,Mapping_Not_Found
Metastatic solid tumor_Metastatic solid tumor_Medical History,Metastatic solid tumor,Metastatic solid tumor,Does the participant have a history of metastatic cancer from primary solid tumor?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Myocardial infarction_Myocardial infarction_Medical History,Myocardial infarction,Myocardial infarction,Has the participant previously had a myocardial infarction (including ECG or enzyme changes indicative of a heart attack)?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
