Query,Element,Variable_Label,Question,Response,Source,GoldName,GoldID,
Race_Race - AIAN_Demographics,Race,Race - AIAN,Which of the following racial designations best describes the participant? More than one choice is acceptable: [American Indian or Alaska Native],NO | YES,Demographics,Race||Race/Ethnicity Self-Identification,Fakc6Jy2x||LakF0YkywC,
Race_Race - Asian_Demographics,Race,Race - Asian,Which of the following racial designations best describes the participant? More than one choice is acceptable: [Asian],NO | YES,Demographics,Race||Race/Ethnicity Self-Identification,Fakc6Jy2x||LakF0YkywC,
Race_Race - Black_Demographics,Race,Race - Black,"Which of the following racial designations best describes the participant? More than one choice is acceptable: [Black, African American, or African]",NO | YES,Demographics,Race||Race/Ethnicity Self-Identification,Fakc6Jy2x||LakF0YkywC,
Race_Race - ME/NA_Demographics,Race,Race - ME/NA,Which of the following racial designations best describes the participant? More than one choice is acceptable: [Middle Eastern or North African],NO | YES,Demographics,Race||Race/Ethnicity Self-Identification,Fakc6Jy2x||LakF0YkywC,
Race_Race - NHOPI_Demographics,Race,Race - NHOPI,Which of the following racial designations best describes the participant? More than one choice is acceptable: [Native Hawaiian or other Pacific Islander],NO | YES,Demographics,Race||Race/Ethnicity Self-Identification,Fakc6Jy2x||LakF0YkywC,
Race_Race - None_Demographics,Race,Race - None,Which of the following racial designations best describes you? More than one choice is acceptable: [None],NO | YES,Demographics,Race||Race/Ethnicity Self-Identification,Fakc6Jy2x||LakF0YkywC,
Race_Race - Refused_Demographics,Race,Race - Refused,Which of the following racial designations best describes the participant? More than one choice is acceptable: [Prefer not to answer],NO | YES,Demographics,Race||Race/Ethnicity Self-Identification,Fakc6Jy2x||LakF0YkywC,
Race_Race - Unknown_Demographics,Race,Race - Unknown,Which of the following racial designations best describes the participant? More than one choice is acceptable: [Unknown],NO | YES,Demographics,Race||Race/Ethnicity Self-Identification,Fakc6Jy2x||LakF0YkywC,
Race_Race - White_Demographics,Race,Race - White,Which of the following racial designations best describes the participant? More than one choice is acceptable: [White],NO | YES,Demographics,Race||Race/Ethnicity Self-Identification,Fakc6Jy2x||LakF0YkywC,
AIDS_AIDS_Medical History,AIDS,AIDS,Does the participant have AIDS (including definite or probable AIDS or AIDS-related complex (ARC))? ,NO | YES | UNKNOWN,Medical History,Comorbidity or Underlying Condition Type||Health Conditions - Disease Disorders,t4KS6j8lZq||hbgYw7HPpXW,
